Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"School enrollment, secondary (% net)",SE.SEC.NENR,Mexico,MEX,46.72132,56.09204,70.65515,71.82661,75.56968,77.66257,80.02575,81.22278,81.15596,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Moldova,MDA,..,78.24249,77.74841,77.909,77.19155,76.86421,76.40056,76.59364,77.85475,77.95594,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Mongolia,MNG,..,62.02657,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Montenegro,MNE,..,..,..,..,..,..,..,90.05336,89.33592,89.07485,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Morocco,MAR,..,..,53.84359,56.69899,..,..,..,..,63.46699,64.4924,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Mozambique,MOZ,..,3.27968,17.0661,17.45519,19.89826,20.22234,19.27829,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Myanmar,MMR,..,32.95794,..,..,..,48.71663,..,56.31635,59.62371,64.05857,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Namibia,NAM,..,42.15857,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Nauru,NRU,..,..,..,72.50608,..,73.66255,..,71.80984,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Nepal,NPL,..,..,..,..,..,..,..,55.37494,57.51369,..,61.87253,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Netherlands,NLD,83.74738,..,89.02126,89.579,..,..,92.54597,93.17266,93.16439,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,New Zealand,NZL,84.59661,..,..,..,94.64403,94.71184,95.32172,96.10406,96.86035,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Nicaragua,NIC,..,34.65554,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Niger,NER,5.36037,..,11.53509,..,..,15.15304,16.63379,..,20.06691,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
