Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Czech Republic,CZE,75.22,73.988,73.185,73.197,73.29,73.384,73.477,73.57,73.675,73.792,73.921,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Denmark,DNK,84.843,85.1,86.957,87.142,87.292,87.41,87.526,87.642,87.757,87.874,87.994,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Djibouti,DJI,75.957,76.532,77.064,77.138,77.222,77.314,77.417,77.528,77.648,77.777,77.915,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Dominica,DMA,63.079,65.265,68.389,68.685,68.982,69.28,69.579,69.88,70.181,70.483,70.786,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Dominican Republic,DOM,55.226,61.753,74.827,75.802,76.749,77.67,78.566,79.436,80.277,81.074,81.828,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ecuador,ECU,55.09,60.299,62.851,62.988,63.125,63.261,63.398,63.534,63.67,63.821,63.986,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Egypt, Arab Rep.",EGY,43.478,42.797,43,42.946,42.893,42.839,42.785,42.732,42.705,42.704,42.73,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,El Salvador,SLV,49.274,58.912,66.325,67.187,68.036,68.874,69.7,70.501,71.275,72.023,72.746,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Equatorial Guinea,GNQ,34.745,49.092,67.488,69,69.544,70.083,70.616,71.138,71.646,72.143,72.627,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Eritrea,ERI,18.905,26.587,35.771,..,..,..,..,..,..,..,..,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Estonia,EST,71.231,69.368,67.965,67.974,68.122,68.269,68.416,68.563,68.717,68.88,69.051,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Eswatini,SWZ,20.202,22.686,22.7,22.849,22.999,23.149,23.3,23.459,23.625,23.799,23.981,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ethiopia,ETH,12.621,14.74,17.735,18.16,18.575,18.998,19.428,19.866,20.31,20.763,21.225,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Faroe Islands,FRO,30.594,36.337,41.088,41.225,41.363,41.501,41.638,41.777,41.914,42.064,42.225,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Fiji,FJI,41.611,47.908,52.683,53.196,53.706,54.216,54.726,55.235,55.742,56.248,56.75,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Finland,FIN,79.367,82.183,84.313,84.841,85.125,85.175,85.225,85.275,85.325,85.382,85.446,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,France,FRA,74.056,75.871,78.622,78.878,79.135,79.394,79.655,79.917,80.18,80.444,80.709,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,French Polynesia,PYF,57.852,56.047,60.889,61.459,61.583,61.633,61.683,61.734,61.784,61.834,61.897,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Gabon,GAB,69.143,78.879,86.092,86.634,87.156,87.651,88.118,88.559,88.976,89.37,89.741,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Gambia, The",GMB,38.312,47.868,56.384,57.105,57.82,58.528,59.228,59.918,60.599,61.27,61.931,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Georgia,GEO,55.038,52.638,55.919,56.303,56.685,57.067,57.448,57.837,58.231,58.632,59.039,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Germany,DEU,73.118,74.965,77.16,77.17,77.18,77.19,77.2,77.224,77.261,77.312,77.376,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ghana,GHA,36.441,43.929,51.394,52.073,52.748,53.419,54.086,54.749,55.407,56.06,56.707,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Gibraltar,GIB,100,100,100,100,100,100,100,100,100,100,100,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Greece,GRC,71.467,72.716,76.649,77.004,77.355,77.702,78.046,78.387,78.724,79.058,79.388,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Greenland,GRL,79.698,81.6,84.755,85.2,85.551,85.813,86.071,86.326,86.574,86.816,87.052,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Grenada,GRD,33.427,35.698,35.859,35.869,35.896,35.938,35.997,36.072,36.164,36.272,36.396,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guam,GUM,90.796,93.129,94.188,94.277,94.364,94.449,94.534,94.617,94.699,94.78,94.859,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guatemala,GTM,41.992,45.332,48.701,49,49.311,49.634,49.971,50.319,50.68,51.054,51.439,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guinea,GIN,28.026,30.869,33.966,34.255,34.545,34.836,35.141,35.46,35.793,36.14,36.5,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guinea-Bissau,GNB,30.83,36.243,40.508,40.908,41.31,41.715,42.123,42.533,42.945,43.36,43.777,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guyana,GUY,29.583,28.694,26.4,26.4,26.4,26.414,26.441,26.482,26.538,26.606,26.689,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Haiti,HTI,28.51,35.6,48.492,49.477,50.46,51.444,52.427,53.396,54.346,55.278,56.192,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Honduras,HND,40.46,45.458,52.543,53.202,53.858,54.514,55.165,55.813,56.457,57.096,57.73,..
